TYPE        Initial_Value      Address      Id_Type        ID
adad 				99			0			var 			a
adad 				99			4			var 			b
adad 				0			0			func			calculateFib
adad 				0			4			var 			n
adad 				0			8			var 			c
adad 				0			12			var 			x
adad 				0			16			var 			y
adad 				0			20			var 			z
adad 				1			24			var 			i
adad 				0			28			var 			t1
adad 				0			32			var 			t2
adad 				0			36			var 			t3
khali				0			0			func			Markazi
adad 				0			4			var 			num
adad 				0			8			var 			result
adad 				0			12			var 			t4
